Airline_Name,Carrier_Code,Region,Middle_Seat_Blocked,Mandatory_Mask,Temp_Checks,Health_Cert,HEPA_Filters,Extra_Cleaning,Reduced_Onboard,Amenity_Kit,Updated_Boarding,Cabin_Bags_Restricted,Airline_Program_Name,Airline_Program_Webpage
EGYPTAIR,MS,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,https://www.egyptair.com/en/about-egyptair/news-and-press/Pages/COVID%2019%20HYGIENE%20MEASURES.aspx
Emirates,EK,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Your safe journey,https://www.emirates.com/nl/english/help/your-safety/
Ethiopian Airlines,ET,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,ET Cares,https://www.ethiopianairlines.com/aa/travel-updates/updates-on-covid-19(coronavirus)
Etihad Airways,EY,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,https://www.etihad.com/en-ae/fly-etihad/health-and-wellness
Gulf Air,GF,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,https://www.gulfair.com/covid19
Jazeera Airways,J9,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,https://www.jazeeraairways.com/en-kw/plan/book/passenger-travel-information
Kenya Airways,KQ,MEA,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,KQ Cares,https://www.kenya-airways.com/en-ke/covid-19
Kuwait Airways,KU,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,https://www.kuwaitairways.com/en/information/usefulinfo/Pages/Covid19-Safety-Information.aspx
Middle East Airlines,ME,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Travel Guidelines,https://www.mea.com.lb/english/covid19-and-travel/travel-guidelines
Oman Aviationco,WY,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,COVID-19  SAFETY MEASURES,https://www.omanair.com/gbl/en/covid19-safety-measures
PIA,PK,MEA,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,https://www.piac.com.pk/travel-update-and-information
Qatar Airways,QR,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Safety Measures,https://www.qatarairways.com/en/safety-measures.html
Royal Air Maroc,AT,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,SANITARY MEASURES,https://www.royalairmaroc.com/uk-en/at-the-agency
Royal Jordanian,RJ,MEA,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Safety Measures,https://rj.com/en/safety-measures
Rwandair,WB,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Five-Step Health & Safety Guide,https://www.rwandair.com/information/prepare-to-fly/five-step-health-safety-guide-2/
Saudi Arabian,SV,MEA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Safe Travel with SAUDIA,https://www.saudia.com/covid-19
South African,SA,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,SAA’s Response to Coronavirus,https://www.flysaa.com/manage-fly/before-flying/health/novel-coronavirus?inheritRedirect=true
TAAG Angola,DT,MEA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,TRAVEL SAFELY,http://www.taag.com/en/Info/Fly-with-TAAG-in-complete-safety
